Nazov,Pocet slov po spracovani,,min,max,<40000,<10000,<22500
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00001.txt,14835,,222,224552,13644,8089,10639
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00002.txt,17820,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00003.txt,47650,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00004.txt,9600,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00005.txt,85239,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00006.txt,4133,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00007.txt,3079,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00008.txt,1800,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00009.txt,36993,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00010.txt,2862,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00011.txt,81343,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00012.txt,6491,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00013.txt,25635,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00014.txt,48529,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00015.txt,953,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00016.txt,9021,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00017.txt,12230,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00018.txt,1865,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00019.txt,2080,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00020.txt,13086,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00021.txt,75801,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00022.txt,321,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00023.txt,49188,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00024.txt,52750,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00025.txt,52706,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00026.txt,46684,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00027.txt,6102,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00028.txt,40234,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00029.txt,18465,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00030.txt,33104,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00031.txt,1275,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00032.txt,78576,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00033.txt,23886,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00034.txt,1961,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00035.txt,333,,,,,,
